,L,R
68,0.0675,-131.51678527776747
69,0.0675,-130.78575662185702
70,0.0675,-132.9906014963599
71,0.06625000000000003,-133.54976243396806
72,0.06625000000000003,-131.63124806531155
73,0.0675,-135.8881461028264
74,0.0675,-136.27892973628286
75,0.0675,-132.99975405400954
76,0.0675,-133.6959105477683
77,0.0675,-135.5126185454667
78,0.0675,-134.65324177508813
79,0.06874999999999998,-132.30986145267636
80,0.0675,-134.31853856906332
81,0.06874999999999998,-136.39989672788485
82,0.0675,-129.28532498590914
83,0.0675,-130.7297797520277
84,0.0675,-128.99173984262413
85,0.0675,-130.08352041025032
86,0.0675,-131.64637928275647
87,0.0675,-129.3185738636361
88,0.0675,-128.80088693376544
89,0.0675,-128.72031635494892
90,0.0675,-131.6575793756454
91,0.0675,-131.90088361956794
92,0.0675,-129.48036596280343
93,0.0675,-130.6952249369211
94,0.0675,-130.31006127345304
95,0.0675,-130.74883769217112
96,0.0675,-129.77943820964185
97,0.0675,-129.73057135397568
98,0.0675,-129.87106724786528
99,0.0675,-130.8298234822892
100,0.0675,-131.07995685741847
101,0.0675,-129.06707736735606
102,0.0675,-129.14286723143144
103,0.0675,-128.92805861128775
104,0.0675,-130.01212724224374
105,0.0675,-130.5326179860154
106,0.0675,-131.3949579127009
107,0.0675,-129.47490409068214
108,0.0675,-135.3171289588502
109,0.0675,-130.5230981724764
110,0.0675,-128.8205391032247
111,0.0675,-130.1027447551175
112,0.0675,-133.1824882725287
113,0.0675,-131.80426032931442
114,0.0675,-129.44848105659895
115,0.0675,-129.52778771578525
116,0.0675,-128.07263475341716
117,0.0675,-128.55613578097925
118,0.0675,-128.59033502639713
119,0.0675,-129.20234700261994
120,0.0675,-131.27975308669264
121,0.0675,-129.96787771437104
122,0.0675,-130.95301642981926
123,0.0675,-129.79361235724966
124,0.0675,-126.91516714950303
125,0.0675,-130.72451760370532
126,0.0675,-129.78470327330717
127,0.0675,-131.78950833127442
128,0.06625000000000003,-130.63489490708926
129,0.0675,-130.79866657455753
130,0.0675,-128.7619712194784
131,0.0675,-129.14485298278618
132,0.0675,-131.82608345711103
133,0.0675,-131.4548107865761
134,0.0675,-130.26574498482887
135,0.0675,-130.50354441493948
136,0.0675,-134.52612317123186
137,0.0675,-132.97991973848116
138,0.0675,-132.74261144858417
139,0.0675,-131.24903967922896
140,0.0675,-129.25491762180914
141,0.0675,-129.11258496681023
142,0.0675,-132.2925659155386
143,0.0675,-134.19241213591
144,0.06625000000000003,-128.5268023197857
145,0.0675,-129.33891424914145
146,0.06625000000000003,-134.16532034934744
147,0.06625000000000003,-131.21793333208242
148,0.0675,-137.8270905875445
149,0.06625000000000003,-132.37750990603067
150,0.06625000000000003,-137.28957606543594
151,0.06625000000000003,-135.0234736360988
152,0.06625000000000003,-134.58932515027217
153,0.06625000000000003,-134.5471171743599
154,0.06625000000000003,-130.84769196684823
155,0.0675,-134.27412160314202
156,0.0675,-133.34917564107164
157,0.0675,-134.45189862623405
158,0.06999999999999995,-132.2538476812696
159,0.06625000000000003,-136.14967887504167
160,0.0675,-136.83725935977182
161,0.0675,-132.50035608987443
162,0.0675,-133.5450911097854
163,0.0675,-131.5730674807395
164,0.0675,-129.14478526032576
